mbd_nearest_1,mbd_nearest_2,mbd_nearest_3,mbd_nearest_4,mbd_nearest_5,cfips
5053,5097,5051,5103,5057,5019
5075,29207,5031,29155,5121,5021
5067,5129,5029,5065,5045,5023
5059,5103,5043,5069,5053,5025
5057,22015,5091,5139,22119,5027
5149,5129,5125,5023,5119,5029
29069,5121,5021,5037,5067,5031
40021,5071,5087,5083,40001,5033
5093,5077,28143,47167,5111,5035
28143,5095,5031,5077,5067,5037
5069,5011,5099,5019,5013,5039
5107,28027,28151,28133,5017,5041
28151,5069,5013,5025,5017,5043
5115,5125,5085,5105,5145,5045
5101,5127,5149,5143,5087,5047
5075,5121,5137,29153,29149,5049
5119,5053,5109,5019,5149,5051
5019,5079,5085,5119,5025,5053
29023,29181,5111,5093,29069,5055
5027,5133,5019,5073,5091,5057
5119,5097,5105,5109,5053,5059
5099,5019,40089,5097,5113,5061
5049,5147,5145,5137,5075,5063
5129,5075,5089,5023,5063,5065
5023,5135,5145,5031,5037,5067
5043,5039,5117,5119,5085,5069
5029,5129,5033,5149,5087,5071
5081,22027,48067,22119,22015,5073
5021,29181,5111,5063,5067,5075
5117,5035,28027,5147,5037,5077
5013,28011,5053,5011,5001,5079
48387,5109,48067,40089,5091,5081
5105,5097,5115,5033,5127,5083
5125,5053,5001,5095,5045,5085
29009,5033,5009,5007,5047,5087
29067,5065,5137,5101,29213,5089
22015,48315,5099,5027,5081,5091
47157,5035,5111,5055,29069,5093
28143,28027,5085,5147,5123,5095
5083,5059,5019,5061,5149,5097
5013,5039,5091,5109,5073,5099
5047,5141,5089,5015,5115,5101
5057,5025,5011,5019,5139,5103
5083,5059,5119,5045,5115,5105
5041,28011,5123,28119,28143,5107
5059,5051,5113,5099,5133,5109
5147,5075,5055,5123,5093,5111
5081,5131,40089,5109,40079,5113
5045,5083,5149,5105,5129,5115
5123,5077,5069,5119,5001,5117
5145,5117,5069,5029,5105,5119
29023,29035,5031,5021,29149,5121
28033,5107,5111,5095,28143,5123
5039,5085,5029,5045,5053,5125
5109,5033,5047,5149,40079,5127
5029,5023,5115,5009,5005,5129
5149,5113,40061,40135,40079,5131
5091,5097,48037,5057,5109,5133
29181,5137,5067,29149,5063,5135
5135,5089,5049,5063,5129,5137
22067,5003,22061,5027,5103,5139
5145,5089,5101,5045,5115,5141
5015,40135,40021,40041,5047,5143
5137,5119,5067,5085,5063,5145
5063,5111,5077,5095,5117,5147
5029,5047,5071,5127,5115,5149
6075,6041,6099,6087,6095,6001
6061,32029,6009,6005,32019,6003
6099,6057,6077,6003,6109,6005
6061,6091,6057,6011,6063,6007
6061,6043,6003,6099,6067,6009
6095,6097,6115,6007,6055,6011
6113,6085,6067,6055,6041,6013
6089,41019,41011,6105,41029,6015
6091,32005,6067,32510,6009,6017
6099,6051,6109,6069,6047,6019
6055,6113,6115,6045,6101,6021
41015,41033,6021,6089,6103,6023
4025,6037,4013,6059,6071,6025
6039,6071,32003,6019,6051,6027
6059,6027,6019,6079,6083,6029
6043,6047,6053,6069,6029,6031
6041,6095,6101,6113,6055,6033
32029,6057,6103,6007,6091,6035
6079,6107,6065,6071,6073,6037
6069,6009,6031,6099,6051,6039
6033,6113,6001,6081,6095,6041
6003,6005,6051,6099,6019,6043
6101,6023,6055,6105,6103,6045
6109,6009,6019,6077,6039,6047
6103,41029,6063,6093,6089,6049
6019,32005,32019,6003,32009,6051
6081,6019,6099,6031,6079,6053
6067,6101,6011,6033,6013,6055
6005,32510,6101,6007,6063,6057
6107,6025,6083,6029,6071,6059
6003,6067,6101,32510,6005,6061
32031,32029,6103,6061,6115,6063
6111,32003,4027,6037,4012,6065
6055,6013,6017,6009,6101,6067
6001,6039,6019,6031,6099,6069
6029,4012,6027,6025,6073,6071
6029,4027,4012,6111,6071,6073
6085,6087,6095,6055,6001,6075
6047,6085,6005,6095,6009,6077
6047,6107,6019,6111,6029,6079
6055,6077,6095,6041,6075,6081
6069,6059,6053,6107,6031,6083
6053,6077,6069,6047,6013,6085
6075,6047,6099,6053,6013,6087
6023,6049,6063,6021,6007,6089
32005,6007,6017,32029,32510,6091
6103,6023,6049,41035,6015,6093
6097,6101,6041,6077,6001,6095
6045,6013,6011,6095,6113,6097
6067,6005,6043,6013,6001,6099
6021,6057,6061,6055,6067,6101
6045,6033,6115,6063,6011,6103
6033,6007,6015,6045,6021,6105
32009,6051,6043,6079,6039,6107
6099,32005,6017,6051,6039,6109
6019,6073,6107,6031,6079,6111
6097,6033,6013,6115,6011,6113
6067,6017,6113,6091,6011,6115
8013,8059,8035,8123,8039,8001
35055,8079,8043,8055,8027,8003
8073,8041,8087,8059,8014,8005
8003,8109,8111,35039,8021,8007
40139,20067,20189,20075,8011,8009
20187,20075,8071,8017,8009,8011
8001,8117,8069,8049,8059,8013
8069,8035,8005,8019,8001,8014
8037,8117,8119,8043,8109,8015
20203,8011,8099,20181,8073,8017
8035,8031,8014,8093,8049,8019
8055,8109,35039,35055,8079,8021
8071,8109,35007,8105,8027,8023
8017,8039,8071,8061,8041,8025
8041,8015,8023,8119,8101,8027
8053,8111,8113,8097,8045,8029
8039,8019,8013,8047,8005,8031
35045,49037,8053,8091,8085,8033
8019,8093,8014,8039,8041,8035
8015,8047,8093,8107,8019,8037
8121,8119,8059,8031,8035,8039
8059,8005,8073,8043,8025,8041
8003,8055,8041,8101,8109,8043
8085,8051,8107,8081,8037,8045
8093,8035,8117,8049,8031,8047
8014,8107,8069,8037,8057,8049
8037,8085,8109,8053,8091,8051
8109,8113,8051,8105,8067,8053
8021,8109,8089,8043,8071,8055
8019,56001,8037,8117,8047,8057
8005,8117,8093,8013,8014,8059
8063,8089,20075,8073,8025,8061
20071,8061,20023,8121,8073,8063
8049,8047,8051,8019,8037,8065
8091,35045,8113,8079,8033,8067
8031,8019,56021,8123,8047,8069
8009,8023,8025,8011,35059,8071
8001,8121,8005,8061,8041,8073
31007,8125,8121,8087,31049,8075
8097,8051,8091,8113,8103,8077
8003,8091,8109,8021,8067,8079
8037,56007,8057,56037,49047,8081
8053,8085,8091,49037,8111,8083
8083,8051,8053,8111,8033,8085
8014,8039,8031,31105,8005,8087
8073,8009,8099,8055,8061,8089
8067,8079,8051,8033,8029,8091
8047,8043,8035,8015,8117,8093
31101,31033,31057,31135,8125,8095
8019,8093,8045,8029,8117,8097
20129,8017,20093,20071,8009,8099
8073,8071,8119,8043,8027,8101
49009,8097,8037,8029,8107,8103
8111,35039,8023,8053,8109,8105
56007,8069,8045,8117,8103,8107
8051,8053,8021,8079,8043,8109
8083,8085,8007,8033,8113,8111
8077,8029,8053,8067,8083,8113
31005,31069,31101,31029,31033,8115
8013,8097,8059,8093,8047,8117
8019,8015,8101,8027,8059,8119
8073,8039,8005,8095,8001,8121
8005,8013,8031,8069,31105,8123
8075,8115,20181,31029,8063,8125
34003,36103,9005,36005,36059,9001
25003,9011,9015,25015,9009,9003
9007,25003,9001,25013,36021,9005
44009,9001,9005,9015,36103,9007
36119,9013,36079,9011,9005,9009
44005,9009,9003,44007,44003,9011
44003,44007,25027,25015,9007,9013
9007,9003,44001,44009,25027,9015
24015,34009,24029,10003,34033,10001
24025,24029,10001,34011,34015,10003
24035,34011,24041,24019,34009,10005
51685,24027,24031,51600,51059,11001
12003,12023,12107,12083,12075,12001
12121,12047,12031,12089,12019,12003
1061,12037,12063,12077,12059,12005
12109,12041,12031,12107,12023,12007
12069,12111,12105,12093,12127,12009
12071,12093,12111,12043,12085,12011
12059,12037,13253,12039,12045,12013
12021,12051,12081,12055,12043,12015
12029,12041,12001,12069,12083,12017
12023,12089,12001,12003,12125,12019
12055,12027,12099,12086,12015,12021
12001,13101,12067,12041,12007,12023
12093,12105,12071,12043,12081,12027
12079,12125,12023,12001,12121,12029
12107,12125,13049,12007,13039,12031
12131,1039,1099,1035,1097,12033
12031,12007,12069,12117,12019,12035
12063,12065,12005,12073,12039,12037
13201,12063,12013,12129,13131,12039
12003,12007,12023,12125,12121,12041
12049,12071,12099,12085,12015,12043
12073,12063,12039,12129,12133,12045
12003,13173,12067,13065,12079,12047
12097,12043,12015,12057,12115,12049
12027,12085,12055,12015,12011,12051
12105,12075,12083,12103,12069,12053
12111,12061,12097,12015,12105,12055
12027,12119,12115,12053,12049,12057
1039,12005,1045,1031,1069,12059
12095,12105,12043,12055,12085,12061
13099,13201,12039,13087,12059,12063
13185,12039,13131,12129,12123,12065
12065,12125,12047,12023,12079,12067
12101,12035,12017,12053,12127,12069
12081,12049,12055,12115,12043,12071
12079,13253,12077,13275,13087,12073
12125,12119,12067,12053,12083,12075
13087,12005,12063,12073,12045,12077
13275,13101,12067,12121,12123,12079
12055,12101,12105,12015,12027,12081
12007,12053,12035,12075,12017,12083
12097,12011,12055,12051,12043,12085
12111,12071,12043,12085,12051,12086
12085,12015,12043,12071,12099,12087
12007,13299,13127,12019,13025,12089
1035,12133,1061,12059,1053,12091
12027,12049,12099,12097,12085,12093
12035,12083,12119,12105,12009,12095
12069,12049,12055,12093,12117,12097
12055,12086,12021,12093,12111,12099
12083,12081,12069,12105,12017,12101
12119,12017,12105,12049,12115,12103
12069,12027,12101,12081,12055,12105
12031,12127,12125,12001,12007,12107
12127,12001,12125,12089,12007,12109
12051,12009,12097,12055,12043,12111
1097,1099,1035,1039,12131,12113
12105,12055,12103,12071,12057,12115
12083,12105,12119,12035,12097,12117
12075,12105,12117,12095,12101,12119
12003,12123,12125,13101,12041,12121
12041,12047,12073,12129,12121,12123
12031,12047,12121,12041,12019,12125
12119,12009,12109,12083,12107,12127
13087,12013,13131,12123,12065,12129
12063,1031,12113,1039,12005,12131
12077,13253,1069,1061,12013,12133
13069,13209,13183,13229,13279,13001
13017,13075,13299,13155,13005,13003
13271,13025,13299,13305,13003,13005
13243,13131,13273,13087,13099,13007
13133,13021,13159,13289,13303,13009
13059,13013,13311,13195,13137,13011
13247,13117,13011,13139,13059,13013
13097,13055,13233,13067,13227,13015
13019,13161,13277,13091,13287,13017
13071,13017,13185,13069,13155,13019
13171,13009,13319,13153,13207,13021
13021,13315,13225,13319,13175,13023
13191,13183,13005,13049,13127,13025
13131,13019,13173,12065,13071,13027
45053,13191,13267,13031,13109,13029
13279,13107,13029,13165,13267,13031
45005,13125,13107,13073,45011,13033
13231,13063,13247,13255,13207,13035
13205,13239,13201,13095,13061,13037
13299,13305,13229,13191,12031,13039
13251,13209,13283,13165,13279,13043
13113,1111,13233,13223,1029,13045
13055,47115,13129,13213,47011,13047
13101,12031,13229,13065,12003,13049
13109,13031,13183,13191,45013,13051
13269,13263,13249,13145,13307,13053
13015,1019,13047,13313,13083,13055
13223,13121,13123,13129,13085,13057
13011,13133,13211,13297,13013,13059
13201,13273,13259,1005,13037,13061
13035,13077,13097,13247,13255,13063
13229,13019,13049,13185,12047,13065
13117,13135,13063,13015,13089,13067
13173,13001,13019,13155,13271,13069
13131,13095,13019,13027,13321,13071
13163,13317,13125,13301,45065,13073
13275,13003,13155,13027,13185,13075
13231,13255,13063,13285,13045,13077
13263,13171,13153,13193,13293,13079
13155,13277,13261,13235,13321,13081
47153,1049,13313,13055,1071,13083
13111,13291,13311,13123,13057,13085
12063,13099,12073,13205,13007,13087
13113,13297,13217,13067,13151,13089
13209,13153,13017,13309,13271,13091
13249,13177,13225,13315,13261,13093
13243,13261,13071,13037,13273,13095
13089,13143,13063,13113,13077,13097
13087,13243,13253,13007,1069,13099
13003,12079,12023,12121,13299,13101
13179,45013,13109,45049,13251,13103
13059,13181,45007,13119,13317,13105
13033,13031,13163,13279,13209,13107
13001,13103,13179,13183,13029,13109
13281,13085,13227,13187,13213,13111
13089,13199,13121,13097,13231,13113
1049,13295,13143,13223,1019,13115
13067,13089,13013,13227,13187,13117
13059,13105,45073,13157,13137,13119
13151,13135,13247,13113,13223,13121
13313,47139,13291,13187,13129,13123
13033,13245,13073,13265,13141,13125
13049,12089,13229,13179,13183,13127
13057,13295,13055,13123,13115,13129
13253,13071,13201,13007,12039,13131
13301,13059,13317,13219,13141,13133
13217,13157,13121,13139,13247,13135
45073,13139,13187,13119,13281,13137
13137,13135,13013,13311,13085,13139
13319,13189,13303,13133,13125,13141
13149,1015,13115,1019,13097,13143
1113,13197,1017,13053,1081,13145
13221,13011,45001,45073,13257,13147
13097,13143,1029,13199,1017,13149
13159,13171,13089,13113,13217,13151
13269,13079,13021,13193,13093,13153
13075,13003,13271,13315,13069,13155
13135,13297,13119,13219,13195,13157
13009,13247,13151,13207,13211,13159
13267,13017,13279,13209,13069,13161
13107,13165,13301,13189,13245,13163
13167,13245,45005,13163,13031,13165
13043,13125,13209,13319,13163,13167
13079,13035,13319,13289,13237,13169
13113,13199,13079,13151,13035,13171
13299,13069,13027,13101,13075,13173
13235,13271,13319,13209,13167,13175
13249,13287,13093,13307,13321,13177
13127,13103,13267,13109,13305,13179
45047,45001,13265,13301,45037,13181
13127,13229,13001,13109,13191,13183
13071,13065,13019,12047,12079,13185
13281,13111,13137,13123,13117,13187
45065,13163,13317,13245,13265,13189
13229,13039,13025,13051,13029,13191
13235,13197,13079,13261,13153,13193
13257,13219,13011,13105,13157,13195
13261,13193,13259,13263,13215,13197
13171,13113,13255,13145,13293,13199
13061,13131,1069,13205,13037,13201
13087,13037,13201,13321,13275,13205
13231,13255,13159,13293,13079,13207
13107,13043,13271,13267,13175,13209
13247,13013,13059,13159,13217,13211
13295,13227,47011,13111,47139,13213
13249,13269,13259,1081,13263,13215
13135,13063,13089,13211,13035,13217
13217,13195,13133,13157,13221,13219
13157,13211,13265,13105,13219,13221
13057,13115,13045,13121,13015,13223
13235,13023,13093,13289,13269,13225
13111,13187,13213,13117,13015,13227
13049,13069,13003,13183,13001,13229
13035,13077,13207,13263,13113,13231
13055,13097,13045,1029,1019,13233
13175,13225,13289,13081,13093,13235
13035,13265,13217,13169,13141,13237
13273,13037,1113,13307,1067,13239
13291,37099,13311,13257,37043,13241
13007,1067,13099,13307,13259,13243
13181,13301,13125,45037,13163,13245
13013,13121,13035,13135,13063,13247
13259,13177,13093,13053,13269,13249
45053,45011,13043,13033,13103,13251
12013,13131,13007,1069,12039,13253
13199,13207,13293,13063,13035,13255
13157,13195,13311,13241,13147,13257
13061,13273,13215,13197,1113,13259
13095,13197,13081,13093,13193,13261
13079,13053,13231,13215,13197,13263
13237,13181,13125,13221,13189,13265
13029,13305,13031,13209,13183,13267
13153,13053,13225,13293,13197,13269
13175,13315,13155,13209,13069,13271
13239,13007,13259,13261,13095,13273
12079,13185,13075,12073,12065,13275
13315,13081,13017,13071,13075,13277
13107,13161,13001,13109,13043,13279
37075,13187,37039,37113,13137,13281
13267,13091,13043,13279,13309,13283
13231,13263,1081,1111,13077,13285
13235,13177,13093,13017,13155,13287
13079,13235,13009,13169,13225,13289
13137,13085,13123,37039,37043,13291
13035,13255,13199,13207,13269,13293
13115,47115,13213,47065,13129,13295
13089,13157,13059,13135,13247,13297
13069,13173,13101,13005,13003,13299
13133,13163,13181,13073,13317,13301
13189,13107,13301,13009,13319,13303
13267,13127,13179,13191,13005,13305
13239,13177,13053,13243,13197,13307
13001,13017,13091,13279,13283,13309
13085,13257,13241,13011,13139,13311
13055,13083,13123,47065,47011,13313
13023,13271,13155,13093,13017,13315
13073,13133,45065,13189,13301,13317
13141,13175,13167,13021,13023,13319
13075,13155,13205,13081,13071,13321
6045,6097,6081,6041,6075,15001
6097,6041,6045,6075,2013,15003
6081,6097,6041,6045,6075,15005
6023,6045,6075,2016,2013,15007
6081,6097,6045,6041,6075,15009
16087,16025,41045,16073,16075,16001
16049,41061,16015,16075,41001,16003
16067,49005,16019,16007,16041,16005
16019,49057,16071,16005,49033,16007
53023,16061,16069,16035,53075,16009
16081,16067,16065,16029,16023,16011
16039,16077,16037,16047,16053,16013
16003,16087,16085,16025,16027,16015
30089,16009,16079,53063,53065,16017
56039,16033,16005,16043,16051,16019
16079,53019,30089,53063,16055,16021
16065,16077,16063,16037,16067,16023
16001,16067,16053,16037,16015,16025
16003,16073,16039,16087,16015,16027
16081,16077,16071,56023,16011,16029
16047,16005,49003,16071,16063,16031
30057,16011,16019,16081,30001,16033
53003,30089,16009,16069,16049,16035
30001,16063,16039,16085,16015,16037
16013,16063,16073,16045,16027,16039
16077,49057,56023,49033,16029,16041
30031,16011,30057,16019,56039,16043
41001,16085,16039,16003,16001,16045
16031,16073,16067,16013,16039,16047
16057,53003,41063,16003,16069,16049
16029,16005,16081,16043,16019,16051
16039,16077,16025,16013,16031,16053
53065,30089,53075,53051,16057,16055
16055,16079,16035,53003,53023,16057
16049,16023,30093,30023,16033,16059
53075,16009,41063,53023,16049,16061
16077,16023,16031,16083,16025,16063
16023,16029,56039,16011,16033,16065
16011,16083,16023,16047,16077,16067
16009,16035,41063,53013,53075,16069
49057,49003,16029,16007,16031,16071
16015,16053,16025,41045,16083,16073
16039,41045,41001,16003,16015,16075
16023,16063,16029,16041,16031,16077
16061,16017,53063,16057,16035,16079
16005,16011,16029,16033,16051,16081
16039,16013,16025,16073,16067,16083
41063,16059,16075,16037,16049,16085
41063,16001,16085,16015,16027,16087
17109,29045,29173,17169,17149,17001
17127,17087,21039,29133,29031,17003
17021,17163,17117,17189,17121,17005
17103,17177,17089,17141,17037,17007
17057,17067,17109,17137,17017,17009
17203,17143,17099,17073,17195,17011
29219,29189,17171,17149,29163,17013
17201,55065,17103,19097,19045,17015
17109,17057,17167,17009,17171,17017
17029,17113,17139,17045,17039,17019
17129,17107,17051,17117,17139,17021
17041,18021,17079,18153,17029,17023
17081,17035,17051,17047,17079,17025
17135,17145,17051,17081,17119,17027
17147,17049,17079,17173,17045,17029
55059,26021,17093,17089,18127,17031
17185,18167,17035,18083,17159,17033
17045,17041,17139,17033,17173,17035
17099,17201,17043,17111,17141,17037
17053,17203,17139,17179,17019,17039
17115,17183,17023,17035,17045,17041
17097,18089,17063,17111,17037,17043
18021,17035,17183,18121,17029,17045
17065,17025,18129,17101,18051,17047
17139,17029,17159,17121,17173,17049
17035,17021,17027,17025,17135,17051
18171,17039,17147,17091,17183,17053
17181,17087,17189,17077,17165,17055
17129,17179,17187,17017,17095,17057
21233,17151,21055,17065,18129,17059
29183,29163,29113,17149,17137,17061
17155,17037,17089,17043,17091,17063
18129,17047,17199,17059,17081,17065
17009,29111,19057,17169,17071,17067
21033,17127,21233,17165,21139,17069
17095,19087,19115,17067,19111,17071
19045,17187,17131,19163,17011,17073
17019,18073,17183,17105,18171,17075
17189,17087,29031,17157,17055,17077
18153,17029,17101,17023,17025,17079
17199,17025,17027,17145,17191,17081
17171,29113,29510,29189,17119,17083
55049,55043,55045,19045,19061,17085
17003,21145,21007,17165,17153,17087
17141,17063,17197,17031,17007,17089
17093,17053,17105,18073,18089,17091
17103,17031,17091,17099,17037,17093
17161,17109,17071,17131,17057,17095
17089,17111,26021,55079,17043,17097
17203,17037,17105,17103,17011,17099
18125,18153,17079,18051,17047,17101
17177,17201,17015,17155,17099,17103
17155,17123,17091,17075,17099,17105
17147,17021,17113,17167,17125,17107
19057,17095,17017,17009,17071,17109
55133,17141,55105,17043,17201,17111
17115,17019,17107,17147,17179,17113
17113,17041,17167,17173,17107,17115
17021,17171,17005,17167,17137,17117
17133,17135,29189,17117,17083,17119
17065,17189,17049,17005,17191,17121
17113,17105,17179,17099,17143,17123
17137,17143,17169,17167,17107,17125
17069,21157,21039,17153,21007,17127
17169,17021,17057,17179,17137,17129
17095,17073,19163,19057,17071,17131
17189,17119,29187,29189,29186,17133
17083,17027,17173,17167,17119,17135
17169,17149,17117,17009,17129,17137
17049,17039,17021,17035,17147,17139
17011,55105,17195,17007,17015,17141
17073,17125,17155,17057,17203,17143
17163,17027,29157,17199,17081,17145
17173,17107,17029,17113,17041,17147
29113,17137,29173,17013,17061,17149
17199,17059,21145,21055,17165,17151
29133,29201,21039,21145,17127,17153
17073,17105,17103,17143,17203,17155
29099,29187,17077,17189,17163,17157
18083,17049,17191,17033,17185,17159
17095,19115,17195,19031,19045,17161
17005,29099,29189,17157,17189,17163
21225,17193,17087,17055,17151,17165
17115,17135,17117,17125,17017,17167
17125,17137,17171,17067,17001,17169
17117,17083,17169,17013,17009,17171
17041,17135,17115,17029,17035,17173
17195,17179,17203,17155,17011,17175
17195,17007,55105,55065,17085,17177
17039,17123,17129,17057,17113,17179
17127,29157,21007,29031,17199,17181
17075,17041,17053,18007,17045,17183
18163,17191,17193,18129,18083,17185
17161,17067,19115,17057,19057,17187
17077,17005,17055,17121,17157,17189
17055,17185,17121,17081,17193,17191
18163,21225,17185,17165,17191,17193
17177,17161,19163,17141,19045,17195
18127,18111,17089,17031,18089,17197
17153,17145,17065,17151,17077,17199
17103,55127,17037,17111,55045,17201
17039,17099,17175,17105,17143,17203
39011,39125,18069,18009,18003,18001
39039,39161,18113,18069,18179,18003
18109,18137,18105,18145,18081,18005
18015,17183,18045,18073,17075,18007
18169,18095,18001,18135,18069,18009
18067,18133,18157,18159,18097,18011
18079,18119,18145,18093,18109,18013
18049,18159,18131,18103,18067,18015
18159,18023,18169,18131,18181,18017
21211,18061,18077,18175,21223,18019
17023,18109,18105,18121,18153,18021
18181,18017,18057,18107,18067,18023
21027,18101,18043,18175,21163,18025
17101,18117,18093,18153,18037,18027
39017,21117,21077,39061,18155,18029
18081,18029,18041,18047,18079,18031
26023,18183,39125,18087,39039,18033
18057,18059,18177,18075,18053,18035
18083,18173,18147,18027,18123,18037
18049,18183,18099,26149,18113,18039
18059,18145,39135,18031,18065,18041
21163,18025,21029,18143,21185,18043
18011,18133,18007,17183,18157,18045
39061,18177,39017,18139,18031,18047
18181,18015,18169,18149,18085,18049
17193,17101,18083,17047,18129,18051
18179,18103,18159,18095,18067,18053
18167,18083,18093,18105,18101,18055
18065,18063,18067,18023,18011,18057
18035,18041,18081,18095,18139,18059
18117,18123,18019,18175,21029,18061
18121,18119,18057,18081,18107,18063
18057,18161,18135,18095,18041,18065
18057,18095,18169,18015,18053,18067
18085,18103,18001,18003,18009,18069
18117,18077,18105,18093,18079,18071
18091,17091,18127,18089,18149,18073
39161,18053,39037,18035,18179,18075
18115,21185,18019,18137,18155,18077
18013,18155,21223,18071,18143,18079
18031,18105,18063,18059,18005,18081
18055,18101,17033,17185,18153,18083
18069,18141,18103,18169,18113,18085
18085,18183,26027,18033,26023,18087
18149,26021,18111,17091,18073,18089
18049,18073,18131,18089,18099,18091
18119,18027,18055,18013,18175,18093
18097,18067,18009,18053,18059,18095
18159,18095,18109,18011,18145,18097
18103,18017,18131,18091,18039,18099
18105,18025,18083,18125,18055,18101
18085,18159,18015,18069,18053,18103
18101,18005,18081,18071,18055,18105
18171,18165,18023,18063,18133,18107
18145,18005,18097,18133,18119,18109
18171,18127,18131,18089,18181,18111
26023,26149,18003,18151,18039,18113
18077,21081,21117,21041,18137,18115
18071,18027,18123,18061,18037,18117
18063,18153,18013,18167,18133,18119
18119,18063,17045,18021,18167,18121
21059,18117,18061,21163,18037,18123
17185,18163,18101,18147,18083,18125
18111,18141,17031,18131,18073,18127
18173,17185,17047,17059,21225,18129
18111,18091,18015,18099,18017,18131
18165,18011,18167,18107,18109,18133
18041,39135,39107,18009,18065,18135
21041,21015,18077,18047,18155,18137
18081,18177,18161,18047,18031,18139
18127,18049,18085,18149,26021,18141
21041,18043,21185,18079,18071,18143
18065,18041,18013,18097,18005,18145
21027,21101,18163,18125,18037,18147
18181,26021,18073,18141,18127,18149
18003,39039,26149,26059,18113,18151
